symbol,identifier,previousClose,lastPrice,iep,change,pChange,finalQuantity,totalTurnover,yearHigh,yearLow
GTPL,GTPLEQN,96.6,107.99,107.99,11.39,11.79,15138,1634752,135.9,95.9
JYOTIGLOBL,JYOTIGLOBLSMN,48.7,52.5,52.5,3.8,7.8,6000,315000,77.75,38.15
GLOBALE,GLOBALEEQN,12.02,12.89,12.89,0.87,7.24,230,2964,28.5,10.5
RETAIL,RETAILEQN,23.58,25.25,25.25,1.67,7.08,1,25,44.45,23.0
SOMICONVEY,SOMICONVEYEQN,116.07,123.99,123.99,7.92,6.82,1,123,207.2,110.41
SPECTRUM,SPECTRUMEQN,1057.2,1125.0,1125.0,67.8,6.41,2,2250,2379.0,1050.0
SANGINITA,SANGINITAEQN,11.2,11.91,11.91,0.71,6.34,420,5002,15.32,8.46
PREMIERPOL,PREMIERPOLEQN,40.86,43.44,43.44,2.58,6.31,9351,406207,76.0,38.0
ZODIAC,ZODIACEQN,272.9,289.8,289.8,16.9,6.19,11,3187,560.0,265.0
KPIGREEN,KPIGREENEQN,441.45,466.6,466.6,25.15,5.7,25280,11795648,563.0,313.4
KRIDHANINF,KRIDHANINFEQN,4.12,4.35,4.35,0.23,5.58,150,652,5.86,3.03
ALMONDZ,ALMONDZEQN,17.45,18.4,18.4,0.95,5.44,200,3680,34.25,14.41
AKI,AKIEQN,6.17,6.5,6.5,0.33,5.35,30,195,16.05,6.05
ISHANCH,ISHANCHEQN,62.74,66.0,66.0,3.26,5.2,1,66,83.37,36.0
LATTEYS,LATTEYSBEN,22.83,23.97,23.97,1.14,4.99,1389,33294,37.0,16.0
FMNL,FMNLEQN,8.12,8.52,8.52,0.4,4.93,1300,11076,25.44,8.1
AIIL,AIILEQN,3098.6,650.1,650.1,30.4,4.91,5931,3855743,663.74,265.1
URAVIDEF,URAVIDEFEQN,192.58,201.95,201.95,9.37,4.87,11,2221,584.0,152.82
DNAMEDIA,DNAMEDIAEQN,3.34,3.5,3.5,0.16,4.79,11,38,7.17,3.25
FLEXITUFF,FLEXITUFFEQN,12.12,12.7,12.7,0.58,4.79,111,1409,63.08,11.97
MRPL,MRPLEQN,140.36,147.0,147.0,6.64,4.73,105952,15574944,185.0,98.92
SHRADHA,SHRADHAEQN,35.24,36.9,36.9,1.66,4.71,19,701,75.86,34.65
TARMAT,TARMATEQN,47.48,49.7,49.7,2.22,4.68,10,497,73.57,45.1
BIL,BILEQN,686.55,718.0,718.0,31.45,4.58,100,71800,984.75,444.0
NAGREEKEXP,NAGREEKEXPEQN,24.72,25.85,25.85,1.13,4.57,21,542,43.5,22.5
ATALREAL,ATALREALEQN,24.69,25.8,25.8,1.11,4.5,100,2580,26.39,11.15
NILASPACES,NILASPACESEQN,14.07,14.7,14.7,0.63,4.48,2110,31017,20.47,10.21
MVKAGRO,MVKAGROSMN,648.05,677.0,677.0,28.95,4.47,300,203100,819.0,32.05
JMA,JMAEQN,76.04,79.4,79.4,3.36,4.42,1,79,111.99,64.3
FOODSIN,FOODSINEQN,64.19,66.95,66.95,2.76,4.3,200,13390,128.45,63.01
PATILAUTOM,PATILAUTOMSMN,171.45,178.8,178.8,7.35,4.29,1800,321840,268.9,153.9
TECHLABS,TECHLABSSMN,292.3,304.8,304.8,12.5,4.28,1125,342900,1510.0,288.35
VALIANTLAB,VALIANTLABEQN,65.12,67.9,67.9,2.78,4.27,50,3395,115.19,63.5
UNIHEALTH,UNIHEALTHSTN,287.5,299.55,299.55,12.05,4.19,1000,299550,390.6,120.0
HECPROJECT,HECPROJECTEQN,107.57,112.0,112.0,4.43,4.12,1,112,184.1,82.01
NBIFIN,NBIFINEQN,2123.1,2209.0,2209.0,85.9,4.05,2,4418,3320.9,2050.0
DCMSRIND,DCMSRINDEQN,46.14,48.0,48.0,1.86,4.03,651,31248,194.0,44.88
KPEL,KPELEQN,318.0,330.0,330.0,12.0,3.77,8600,2838000,583.7,314.3
SHIVATEX,SHIVATEXEQN,169.72,176.1,176.1,6.38,3.76,1,176,273.59,168.0
SUDEEPPHRM,SUDEEPPHRMEQN,601.4,623.95,623.95,22.55,3.75,10151,6333716,795.0,543.9
NKIND,NKINDEQN,67.5,70.0,70.0,2.5,3.7,1,70,87.78,53.0
INCREDIBLE,INCREDIBLEEQN,36.46,37.8,37.8,1.34,3.68,1,37,52.87,28.5
SADHAV,SADHAVSMN,102.25,106.0,106.0,3.75,3.67,600,63600,153.0,76.95
DPSCLTD,DPSCLTDEQN,9.07,9.4,9.4,0.33,3.64,2412,22672,16.41,8.49
POLYSIL,POLYSILSTN,209.4,217.0,217.0,7.6,3.63,1000,217000,356.75,14.25
UNIDT,UNIDTEQN,196.9,204.0,204.0,7.1,3.61,1,204,275.95,184.46
MANORG,MANORGEQN,499.95,517.9,517.9,17.95,3.59,602,311775,637.85,340.1
NEXTMEDIA,NEXTMEDIAEQN,5.89,6.1,6.1,0.21,3.57,222,1354,8.48,5.11
CANHLIFE,CANHLIFEEQN,145.54,150.7,150.7,5.16,3.55,28227,4253808,157.8,106.0
BALUFORGE,BALUFORGEEQN,441.4,457.0,457.0,15.6,3.53,10619,4852883,784.0,428.4
EMBDL,EMBDLBEN,70.44,72.9,72.9,2.46,3.49,215146,15684143,163.69,55.69
PRIMO,PRIMOEQN,22.22,22.99,22.99,0.77,3.47,300,6897,31.39,21.51
WAAREERTL,WAAREERTLEQN,945.3,977.95,977.95,32.65,3.45,12388,12114844,1358.0,841.15
BIOFILCHEM,BIOFILCHEMEQN,31.91,32.99,32.99,1.08,3.38,3,98,62.88,31.4
GFLLIMITED,GFLLIMITEDEQN,53.89,55.7,55.7,1.81,3.36,380,21166,81.0,48.7
CORALFINAC,CORALFINACEQN,36.72,37.94,37.94,1.22,3.32,29,1100,52.49,33.7
RUDRA,RUDRAEQN,23.82,24.6,24.6,0.78,3.27,1,24,29.7,23.0
MBLINFRA,MBLINFRAEQN,29.25,30.19,30.19,0.94,3.21,7,211,65.01,26.36
ARSHIYA,ARSHIYABZN,1.26,1.3,1.3,0.04,3.17,51,66,3.94,1.16
SUNDRMBRAK,SUNDRMBRAKEQN,639.1,659.3,659.3,20.2,3.16,1,659,1174.15,620.1
PRITIKAUTO,PRITIKAUTOEQN,14.4,14.85,14.85,0.45,3.13,2500,37125,25.19,12.8
SRPL,SRPLBZN,0.64,0.66,0.66,0.02,3.13,3093,2041,1.36,0.46
WABAG,WABAGEQN,1173.7,1210.2,1210.2,36.5,3.11,6072,7348334,1680.0,1114.0
SSDL,SSDLEQN,72.28,74.49,74.49,2.21,3.06,1,74,128.19,71.11
KILITCH,KILITCHEQN,344.6,355.0,355.0,10.4,3.02,9,3195,500.0,294.07
AARTECH,AARTECHEQN,50.43,51.94,51.94,1.51,2.99,1,51,81.75,47.0
GARUDA,GARUDAEQN,165.07,169.99,169.99,4.92,2.98,17395,2956976,249.3,87.5
BELLACASA,BELLACASAEQN,347.65,358.0,358.0,10.35,2.98,1,358,497.35,339.8
SUMEETINDS,SUMEETINDSEQN,27.1,27.9,27.9,0.8,2.95,775,21622,40.5,10.66
SAKHTISUG,SAKHTISUGEQN,17.82,18.34,18.34,0.52,2.92,5,91,31.67,17.69
HEADSUP,HEADSUPEQN,8.6,8.85,8.85,0.25,2.91,1,8,14.48,8.36
DIGIDRIVE,DIGIDRIVEEQN,25.9,26.65,26.65,0.75,2.9,40,1066,43.9,24.65
MFML,MFMLEQN,23.78,24.47,24.47,0.69,2.9,2,48,47.0,23.0
AGROPHOS,AGROPHOSEQN,38.58,39.69,39.69,1.11,2.88,1,39,47.6,27.2
SUNDARAM,SUNDARAMEQN,1.75,1.8,1.8,0.05,2.86,17240,31032,2.5,1.52
WEALTH,WEALTHEQN,874.85,899.9,899.9,25.05,2.86,30,26997,1489.4,801.2
GALAPREC,GALAPRECEQN,722.85,743.0,743.0,20.15,2.79,7,5201,1214.75,685.05
PATINTLOG,PATINTLOGEQN,13.24,13.6,13.6,0.36,2.72,15,204,21.49,12.9
OSIAHYPER,OSIAHYPEREQN,15.09,15.5,15.5,0.41,2.72,14925,231337,33.08,11.31
IZMO,IZMOEQN,734.1,754.0,754.0,19.9,2.71,112,84448,1374.7,229.7
HIRECT,HIRECTEQN,1361.2,1398.0,1398.0,36.8,2.7,10,13980,2108.5,799.0
HMT,HMTBZN,45.59,46.8,46.8,1.21,2.65,44,2059,75.49,44.5
SUPERHOUSE,SUPERHOUSEEQN,142.25,146.0,146.0,3.75,2.64,1,146,211.97,129.53
TVSSCS,TVSSCSEQN,106.22,109.0,109.0,2.78,2.62,11833,1289797,167.17,100.01
